Year,Population
2013-01-29,3508648.416438356
2013-01-30,3508792.002739726
2013-01-31,3508935.5890410957
2013-02-01,3509079.1753424658
2013-02-02,3509222.761643836
2013-02-03,3509366.3479452054
2013-02-04,3509509.9342465755
2013-02-05,3509653.520547945
2013-02-06,3509797.106849315
2013-02-07,3509940.6931506847
2013-02-08,3510084.2794520548
2013-02-09,3510227.865753425
2013-02-10,3510371.4520547944
2013-02-11,3510515.0383561645
2013-02-12,3510658.624657534
2013-02-13,3510802.210958904
2013-02-14,3510945.797260274
2013-02-15,3511089.383561644
2013-02-16,3511232.969863014
2013-02-17,3511376.5561643834
2013-02-18,3511520.1424657535
2013-02-19,3511663.728767123
2013-02-20,3511807.315068493
2013-02-21,3511950.901369863
2013-02-22,3512094.487671233
2013-02-23,3512238.073972603
2013-02-24,3512381.6602739724
2013-02-25,3512525.2465753425
2013-02-26,3512668.8328767125
2013-02-27,3512812.419178082
2013-02-28,3512956.005479452
2013-03-01,3513099.591780822
2013-03-02,3513243.178082192
2013-03-03,3513386.7643835614
2013-03-04,3513530.3506849315
2013-03-05,3513673.9369863016
2013-03-06,3513817.523287671
2013-03-07,3513961.109589041
2013-03-08,3514104.695890411
2013-03-09,3514248.282191781
2013-03-10,3514391.8684931505
2013-03-11,3514535.4547945205
2013-03-12,3514679.0410958906
2013-03-13,3514822.62739726
2013-03-14,3514966.21369863
2013-03-15,3515109.8
2013-03-16,3515253.38630137
2013-03-17,3515396.97260274
2013-03-18,3515540.5589041095
2013-03-19,3515684.1452054796
2013-03-20,3515827.731506849
2013-03-21,3515971.317808219
2013-03-22,3516114.904109589
2013-03-23,3516258.490410959
2013-03-24,3516402.076712329
2013-03-25,3516545.6630136985
2013-03-26,3516689.2493150686
2013-03-27,3516832.835616438
2013-03-28,3516976.4219178082
2013-03-29,3517120.0082191783
2013-03-30,3517263.594520548
2013-03-31,3517407.180821918
2013-04-01,3517550.7671232875
2013-04-02,3517694.3534246576
2013-04-03,3517837.939726027
2013-04-04,3517981.5260273973
2013-04-05,3518125.1123287673
2013-04-06,3518268.698630137
2013-04-07,3518412.284931507
2013-04-08,3518555.8712328766
2013-04-09,3518699.4575342466
2013-04-10,3518843.0438356167
2013-04-11,3518986.6301369863
2013-04-12,3519130.2164383563
2013-04-13,3519273.802739726
2013-04-14,3519417.389041096
2013-04-15,3519560.9753424656
2013-04-16,3519704.5616438356
